event_id,timestamp_utc,plant_instance_id,species_id,reason,amount_ml,moisture_before,moisture_after,target_moisture,runoff_fraction
42,2026-07-31T06:00:00+0000,2,728,scheduled,828.2,0.2869,0.6311,0.6,0.24
43,2026-02-09T16:10:00+0000,3,728,scheduled,2239.3,0.3747,0.6316,0.6,0.27
44,2026-02-17T20:40:00+0000,3,728,scheduled,1675.2,0.3915,0.5837,0.6,0.27
45,2026-02-25T20:10:00+0000,3,728,scheduled,2047.9,0.3744,0.6093,0.6,0.27
46,2026-03-06T06:00:00+0000,3,728,scheduled,2042.2,0.379,0.6133,0.6,0.27
47,2026-03-15T06:00:00+0000,3,728,scheduled,1839.0,0.364,0.5749,0.6,0.27
48,2026-03-23T10:20:00+0000,3,728,scheduled,2087.6,0.3617,0.6011,0.6,0.27
49,2026-04-01T08:00:00+0000,3,728,scheduled,2132.1,0.3605,0.6051,0.6,0.27
50,2026-04-09T10:30:00+0000,3,728,scheduled,2361.6,0.3731,0.644,0.6,0.27
51,2026-04-17T15:40:00+0000,3,728,scheduled,1569.4,0.3813,0.5614,0.6,0.27
52,2026-04-26T06:00:00+0000,3,728,scheduled,1878.3,0.3496,0.5651,0.6,0.27
53,2026-05-04T12:00:00+0000,3,728,scheduled,2729.1,0.351,0.6641,0.6,0.27
54,2026-05-13T12:20:00+0000,3,728,scheduled,1925.8,0.3716,0.5925,0.6,0.27
55,2026-05-22T10:30:00+0000,3,728,scheduled,2289.0,0.3508,0.6134,0.6,0.27
56,2026-05-31T09:50:00+0000,3,728,scheduled,2254.1,0.3539,0.6124,0.6,0.27
57,2026-06-08T08:40:00+0000,3,728,scheduled,2398.0,0.3702,0.6452,0.6,0.27
58,2026-06-16T14:30:00+0000,3,728,scheduled,2129.8,0.3713,0.6156,0.6,0.27
59,2026-06-25T06:00:00+0000,3,728,scheduled,1748.4,0.3587,0.5593,0.6,0.27
60,2026-07-03T13:30:00+0000,3,728,scheduled,2440.0,0.3386,0.6185,0.6,0.27
61,2026-07-11T13:30:00+0000,3,728,scheduled,2344.3,0.3675,0.6364,0.6,0.27
62,2026-07-20T14:30:00+0000,3,728,scheduled,2335.8,0.3538,0.6217,0.6,0.27
63,2026-07-28T14:40:00+0000,3,728,scheduled,2121.4,0.3654,0.6087,0.6,0.27
64,2026-02-06T06:30:00+0000,4,2961,below_threshold,560.6,0.2799,0.6197,0.62,0.45
65,2026-02-11T16:10:00+0000,4,2961,below_threshold,642.3,0.28,0.6693,0.62,0.45
66,2026-02-17T15:30:00+0000,4,2961,below_threshold,506.9,0.2798,0.5871,0.62,0.45
67,2026-02-23T03:40:00+0000,4,2961,below_threshold,535.8,0.28,0.6047,0.62,0.45
68,2026-02-28T12:20:00+0000,4,2961,below_threshold,544.5,0.2799,0.6099,0.62,0.45
69,2026-03-05T20:50:00+0000,4,2961,below_threshold,558.0,0.2799,0.6182,0.62,0.45
70,2026-03-11T11:20:00+0000,4,2961,below_threshold,485.6,0.28,0.5743,0.62,0.45
71,2026-03-16T12:40:00+0000,4,2961,below_threshold,630.5,0.28,0.6622,0.62,0.45
72,2026-03-22T09:20:00+0000,4,2961,below_threshold,582.2,0.28,0.6328,0.62,0.45
73,2026-03-27T16:10:00+0000,4,2961,below_threshold,569.2,0.2798,0.6248,0.62,0.45
74,2026-04-02T07:00:00+0000,4,2961,below_threshold,649.9,0.28,0.6739,0.62,0.45
75,2026-04-07T17:30:00+0000,4,2961,below_threshold,607.4,0.2798,0.6479,0.62,0.45
76,2026-04-13T10:40:00+0000,4,2961,below_threshold,550.0,0.2799,0.6133,0.62,0.45
77,2026-04-18T13:20:00+0000,4,2961,below_threshold,491.8,0.2797,0.5778,0.62,0.45
78,2026-04-23T12:40:00+0000,4,2961,below_threshold,579.9,0.2799,0.6314,0.62,0.45
79,2026-04-28T17:10:00+0000,4,2961,below_threshold,525.9,0.2798,0.5986,0.62,0.45
80,2026-05-03T16:30:00+0000,4,2961,below_threshold,582.7,0.2798,0.633,0.62,0.45
81,2026-05-08T18:30:00+0000,4,2961,below_threshold,478.6,0.2798,0.57,0.62,0.45
82,2026-05-13T12:00:00+0000,4,2961,below_threshold,608.7,0.2799,0.6488,0.62,0.45
83,2026-05-18T14:10:00+0000,4,2961,below_threshold,511.7,0.28,0.5901,0.62,0.45
84,2026-05-23T10:10:00+0000,4,2961,below_threshold,585.0,0.2798,0.6344,0.62,0.45
85,2026-05-28T10:30:00+0000,4,2961,below_threshold,581.9,0.2798,0.6325,0.62,0.45
86,2026-06-02T09:20:00+0000,4,2961,below_threshold,539.6,0.2798,0.6069,0.62,0.45
87,2026-06-07T02:20:00+0000,4,2961,below_threshold,501.8,0.28,0.5842,0.62,0.45
88,2026-06-11T14:30:00+0000,4,2961,below_threshold,588.6,0.2797,0.6365,0.62,0.45
89,2026-06-16T13:00:00+0000,4,2961,below_threshold,589.9,0.2799,0.6374,0.62,0.45
90,2026-06-21T11:20:00+0000,4,2961,below_threshold,513.8,0.2797,0.5912,0.62,0.45
91,2026-06-26T00:10:00+0000,4,2961,below_threshold,584.5,0.28,0.6343,0.62,0.45
92,2026-06-30T18:20:00+0000,4,2961,below_threshold,492.2,0.28,0.5783,0.62,0.45
93,2026-07-05T09:30:00+0000,4,2961,below_threshold,568.3,0.2798,0.6243,0.62,0.45
94,2026-07-10T01:40:00+0000,4,2961,below_threshold,525.8,0.28,0.5987,0.62,0.45
95,2026-07-14T12:50:00+0000,4,2961,below_threshold,549.0,0.2797,0.6125,0.62,0.45
96,2026-07-19T06:00:00+0000,4,2961,below_threshold,554.0,0.28,0.6158,0.62,0.45
97,2026-07-23T13:50:00+0000,4,2961,below_threshold,565.6,0.28,0.6228,0.62,0.45
98,2026-07-28T07:00:00+0000,4,2961,below_threshold,671.4,0.2798,0.6868,0.62,0.45
99,2026-02-07T14:50:00+0000,5,2961,below_threshold,1511.4,0.28,0.5935,0.62,0.36
100,2026-02-14T13:20:00+0000,5,2961,below_threshold,1590.5,0.2799,0.6098,0.62,0.36
101,2026-02-21T13:00:00+0000,5,2961,below_threshold,1666.7,0.28,0.6257,0.62,0.36
102,2026-02-28T14:30:00+0000,5,2961,below_threshold,1643.0,0.2798,0.6206,0.62,0.36
103,2026-03-07T15:00:00+0000,5,2961,below_threshold,1702.6,0.2799,0.6331,0.62,0.36
104,2026-03-14T15:00:00+0000,5,2961,below_threshold,1730.7,0.2798,0.6388,0.62,0.36
105,2026-03-21T14:00:00+0000,5,2961,below_threshold,1661.3,0.2798,0.6244,0.62,0.36
106,2026-03-28T10:30:00+0000,5,2961,below_threshold,1578.1,0.2799,0.6072,0.62,0.36
107,2026-04-03T20:30:00+0000,5,2961,below_threshold,1678.3,0.2799,0.628,0.62,0.36
108,2026-04-10T14:40:00+0000,5,2961,below_threshold,1727.2,0.2799,0.6381,0.62,0.36
109,2026-04-17T10:30:00+0000,5,2961,below_threshold,1834.0,0.2798,0.6602,0.62,0.36
110,2026-04-24T08:50:00+0000,5,2961,below_threshold,1823.9,0.2799,0.6582,0.62,0.36
111,2026-05-01T06:50:00+0000,5,2961,below_threshold,1822.9,0.2799,0.658,0.62,0.36
112,2026-05-07T19:00:00+0000,5,2961,below_threshold,1560.7,0.2799,0.6036,0.62,0.36
113,2026-05-14T07:30:00+0000,5,2961,below_threshold,1730.2,0.2799,0.6388,0.62,0.36
114,2026-05-20T17:20:00+0000,5,2961,below_threshold,1575.9,0.2798,0.6067,0.62,0.36
115,2026-05-27T07:30:00+0000,5,2961,below_threshold,1660.1,0.2799,0.6242,0.62,0.36
116,2026-06-02T15:30:00+0000,5,2961,below_threshold,1578.0,0.28,0.6073,0.62,0.36
117,2026-06-09T06:40:00+0000,5,2961,below_threshold,1913.1,0.2799,0.6767,0.62,0.36
118,2026-06-15T20:10:00+0000,5,2961,below_threshold,1414.3,0.28,0.5733,0.62,0.36
119,2026-06-21T19:30:00+0000,5,2961,below_threshold,1664.9,0.2798,0.6252,0.62,0.36
120,2026-06-28T09:40:00+0000,5,2961,below_threshold,1692.4,0.2799,0.6309,0.62,0.36
121,2026-07-04T15:30:00+0000,5,2961,below_threshold,1863.1,0.2799,0.6663,0.62,0.36
122,2026-07-11T09:30:00+0000,5,2961,below_threshold,1654.9,0.28,0.6233,0.62,0.36
123,2026-07-17T12:40:00+0000,5,2961,below_threshold,1375.3,0.2797,0.565,0.62,0.36
124,2026-07-23T08:40:00+0000,5,2961,below_threshold,1657.3,0.2799,0.6236,0.62,0.36
125,2026-07-29T10:50:00+0000,5,2961,below_threshold,1577.5,0.2798,0.607,0.62,0.36
126,2026-02-07T16:10:00+0000,6,2961,below_threshold,2789.0,0.2799,0.6471,0.62,0.24
127,2026-02-15T09:50:00+0000,6,2961,scheduled,2236.0,0.289,0.5834,0.62,0.24
128,2026-02-22T13:40:00+0000,6,2961,below_threshold,2376.5,0.28,0.5929,0.62,0.24
129,2026-03-01T20:40:00+0000,6,2961,below_threshold,2508.1,0.2799,0.6102,0.62,0.24
130,2026-03-09T11:30:00+0000,6,2961,below_threshold,2455.7,0.2798,0.6032,0.62,0.24
131,2026-03-16T16:40:00+0000,6,2961,below_threshold,2738.0,0.2799,0.6404,0.62,0.24
132,2026-03-24T07:20:00+0000,6,2961,scheduled,2848.0,0.2853,0.6603,0.62,0.24
133,2026-03-31T09:00:00+0000,6,2961,scheduled,2739.4,0.2939,0.6546,0.62,0.24
134,2026-04-07T20:20:00+0000,6,2961,scheduled,2104.8,0.2821,0.5593,0.62,0.24
135,2026-04-14T15:10:00+0000,6,2961,below_threshold,2664.4,0.2799,0.6308,0.62,0.24
136,2026-04-22T06:20:00+0000,6,2961,below_threshold,2598.4,0.28,0.6221,0.62,0.24
137,2026-04-29T09:40:00+0000,6,2961,below_threshold,2362.9,0.2799,0.591,0.62,0.24
138,2026-05-06T07:40:00+0000,6,2961,below_threshold,2277.4,0.28,0.5799,0.62,0.24
139,2026-05-12T20:40:00+0000,6,2961,below_threshold,2604.2,0.28,0.6229,0.62,0.24
140,2026-05-20T00:20:00+0000,6,2961,below_threshold,2666.6,0.28,0.6311,0.62,0.24
141,2026-05-27T07:10:00+0000,6,2961,below_threshold,2791.2,0.28,0.6475,0.62,0.24
142,2026-06-03T11:20:00+0000,6,2961,below_threshold,2780.0,0.2799,0.646,0.62,0.24
143,2026-06-10T12:10:00+0000,6,2961,below_threshold,2963.1,0.2798,0.67,0.62,0.24
144,2026-06-17T14:10:00+0000,6,2961,below_threshold,2853.0,0.2798,0.6555,0.62,0.24
145,2026-06-24T13:40:00+0000,6,2961,below_threshold,2158.3,0.28,0.5642,0.62,0.24
146,2026-06-30T14:40:00+0000,6,2961,below_threshold,2576.2,0.2798,0.619,0.62,0.24
147,2026-07-07T08:20:00+0000,6,2961,below_threshold,2394.6,0.28,0.5953,0.62,0.24
148,2026-07-13T13:10:00+0000,6,2961,below_threshold,2804.4,0.2799,0.6492,0.62,0.24
149,2026-07-20T09:10:00+0000,6,2961,below_threshold,2647.4,0.2798,0.6284,0.62,0.24
150,2026-07-26T17:50:00+0000,6,2961,below_threshold,2671.7,0.28,0.6318,0.62,0.24
151,2026-02-02T18:10:00+0000,7,1220,below_threshold,605.9,0.3797,0.6943,0.72,0.42
152,2026-02-04T18:10:00+0000,7,1220,below_threshold,544.5,0.3796,0.6624,0.72,0.42
153,2026-02-06T16:00:00+0000,7,1220,below_threshold,689.8,0.3795,0.7376,0.72,0.42
154,2026-02-08T18:40:00+0000,7,1220,below_threshold,732.2,0.3798,0.7599,0.72,0.42
155,2026-02-11T05:30:00+0000,7,1220,below_threshold,671.1,0.3799,0.7284,0.72,0.42
156,2026-02-13T07:30:00+0000,7,1220,below_threshold,689.0,0.3799,0.7376,0.72,0.42
157,2026-02-15T09:30:00+0000,7,1220,below_threshold,626.4,0.3794,0.7047,0.72,0.42
158,2026-02-17T09:10:00+0000,7,1220,below_threshold,692.3,0.3797,0.7391,0.72,0.42
159,2026-02-19T10:40:00+0000,7,1220,below_threshold,618.5,0.3799,0.701,0.72,0.42
160,2026-02-21T10:10:00+0000,7,1220,below_threshold,689.2,0.3796,0.7374,0.72,0.42
161,2026-02-23T11:30:00+0000,7,1220,below_threshold,574.0,0.379,0.6771,0.72,0.42
162,2026-02-25T09:40:00+0000,7,1220,below_threshold,741.8,0.38,0.7651,0.72,0.42
163,2026-02-27T12:40:00+0000,7,1220,below_threshold,638.0,0.3791,0.7104,0.72,0.42
164,2026-03-01T12:40:00+0000,7,1220,below_threshold,532.2,0.3796,0.656,0.72,0.42
165,2026-03-03T09:10:00+0000,7,1220,below_threshold,668.0,0.3791,0.726,0.72,0.42
166,2026-03-05T09:50:00+0000,7,1220,below_threshold,743.0,0.3792,0.765,0.72,0.42
167,2026-03-07T12:30:00+0000,7,1220,below_threshold,665.0,0.3792,0.7245,0.72,0.42
168,2026-03-09T12:40:00+0000,7,1220,below_threshold,562.7,0.3797,0.6719,0.72,0.42
169,2026-03-11T10:20:00+0000,7,1220,below_threshold,654.0,0.3791,0.7187,0.72,0.42
170,2026-03-13T10:00:00+0000,7,1220,below_threshold,573.8,0.3795,0.6775,0.72,0.42
171,2026-03-15T07:10:00+0000,7,1220,below_threshold,682.6,0.3794,0.7338,0.72,0.42
172,2026-03-17T07:10:00+0000,7,1220,below_threshold,688.8,0.38,0.7376,0.72,0.42
173,2026-03-19T07:30:00+0000,7,1220,below_threshold,701.2,0.3795,0.7436,0.72,0.42
174,2026-03-21T08:00:00+0000,7,1220,below_threshold,615.0,0.3797,0.6991,0.72,0.42
175,2026-03-23T05:50:00+0000,7,1220,below_threshold,653.5,0.3798,0.7192,0.72,0.42
176,2026-03-24T23:50:00+0000,7,1220,below_threshold,698.3,0.3799,0.7425,0.72,0.42
177,2026-03-27T01:20:00+0000,7,1220,below_threshold,567.3,0.38,0.6746,0.72,0.42
178,2026-03-28T18:00:00+0000,7,1220,below_threshold,640.6,0.3796,0.7122,0.72,0.42
179,2026-03-30T16:40:00+0000,7,1220,below_threshold,705.4,0.38,0.7463,0.72,0.42
180,2026-04-01T17:10:00+0000,7,1220,below_threshold,597.6,0.3793,0.6896,0.72,0.42
181,2026-04-03T14:40:00+0000,7,1220,below_threshold,636.2,0.3791,0.7094,0.72,0.42
182,2026-04-05T13:10:00+0000,7,1220,below_threshold,625.8,0.3797,0.7047,0.72,0.42
183,2026-04-07T11:50:00+0000,7,1220,below_threshold,669.5,0.3791,0.7267,0.72,0.42
184,2026-04-09T11:40:00+0000,7,1220,below_threshold,680.4,0.3791,0.7324,0.72,0.42
185,2026-04-11T11:30:00+0000,7,1220,below_threshold,610.4,0.3798,0.6968,0.72,0.42
186,2026-04-13T09:50:00+0000,7,1220,below_threshold,643.3,0.3793,0.7133,0.72,0.42
187,2026-04-15T08:50:00+0000,7,1220,below_threshold,628.1,0.3799,0.7061,0.72,0.42
188,2026-04-17T07:00:00+0000,7,1220,below_threshold,570.8,0.38,0.6764,0.72,0.42
189,2026-04-18T20:10:00+0000,7,1220,below_threshold,651.1,0.3794,0.7174,0.72,0.42
190,2026-04-20T18:40:00+0000,7,1220,below_threshold,584.9,0.3795,0.6831,0.72,0.42
191,2026-04-22T15:10:00+0000,7,1220,below_threshold,673.1,0.38,0.7295,0.72,0.42
192,2026-04-24T14:40:00+0000,7,1220,below_threshold,639.2,0.3791,0.711,0.72,0.42
193,2026-04-26T13:20:00+0000,7,1220,below_threshold,610.3,0.3798,0.6966,0.72,0.42
194,2026-04-28T11:20:00+0000,7,1220,below_threshold,669.9,0.38,0.7278,0.72,0.42
195,2026-04-30T11:20:00+0000,7,1220,below_threshold,661.3,0.3792,0.7225,0.72,0.42
196,2026-05-02T11:10:00+0000,7,1220,below_threshold,622.4,0.3794,0.7026,0.72,0.42
197,2026-05-04T09:30:00+0000,7,1220,below_threshold,756.1,0.3798,0.7724,0.72,0.42
198,2026-05-06T11:20:00+0000,7,1220,below_threshold,688.3,0.3797,0.7371,0.72,0.42
199,2026-05-08T11:10:00+0000,7,1220,below_threshold,663.2,0.3796,0.7239,0.72,0.42
200,2026-05-10T10:20:00+0000,7,1220,below_threshold,730.2,0.3798,0.7589,0.72,0.42
201,2026-05-12T11:00:00+0000,7,1220,below_threshold,648.8,0.38,0.7169,0.72,0.42
202,2026-05-14T09:50:00+0000,7,1220,below_threshold,552.8,0.3793,0.6663,0.72,0.42
203,2026-05-16T03:40:00+0000,7,1220,below_threshold,584.4,0.3798,0.6833,0.72,0.42
204,2026-05-17T18:30:00+0000,7,1220,below_threshold,637.3,0.3796,0.7105,0.72,0.42
205,2026-05-19T16:20:00+0000,7,1220,below_threshold,666.3,0.3799,0.7259,0.72,0.42
206,2026-05-21T15:10:00+0000,7,1220,below_threshold,680.9,0.3794,0.733,0.72,0.42
207,2026-05-23T14:10:00+0000,7,1220,below_threshold,645.5,0.3798,0.715,0.72,0.42
208,2026-05-25T12:40:00+0000,7,1220,below_threshold,587.2,0.3798,0.6847,0.72,0.42
209,2026-05-27T09:40:00+0000,7,1220,below_threshold,612.8,0.3796,0.6978,0.72,0.42
210,2026-05-29T07:10:00+0000,7,1220,below_threshold,664.6,0.3795,0.7246,0.72,0.42
211,2026-05-31T05:20:00+0000,7,1220,below_threshold,728.0,0.3799,0.7579,0.72,0.42
212,2026-06-02T04:30:00+0000,7,1220,below_threshold,738.3,0.38,0.7634,0.72,0.42
213,2026-06-04T04:40:00+0000,7,1220,below_threshold,591.5,0.3798,0.687,0.72,0.42
214,2026-06-05T18:20:00+0000,7,1220,below_threshold,682.7,0.3795,0.734,0.72,0.42
215,2026-06-07T17:00:00+0000,7,1220,below_threshold,662.7,0.3796,0.7237,0.72,0.42
216,2026-06-09T15:10:00+0000,7,1220,below_threshold,570.6,0.3792,0.6755,0.72,0.42
217,2026-06-11T11:00:00+0000,7,1220,below_threshold,627.4,0.3796,0.7054,0.72,0.42
218,2026-06-13T08:50:00+0000,7,1220,below_threshold,712.7,0.3791,0.7492,0.72,0.42
219,2026-06-15T08:50:00+0000,7,1220,below_threshold,669.0,0.3799,0.7272,0.72,0.42
220,2026-06-17T07:10:00+0000,7,1220,below_threshold,625.7,0.3798,0.7047,0.72,0.42
221,2026-06-18T22:00:00+0000,7,1220,below_threshold,732.5,0.38,0.7603,0.72,0.42
222,2026-06-20T22:50:00+0000,7,1220,below_threshold,601.0,0.3799,0.6919,0.72,0.42
223,2026-06-22T17:30:00+0000,7,1220,below_threshold,593.2,0.3793,0.6874,0.72,0.42
224,2026-06-24T14:00:00+0000,7,1220,below_threshold,705.2,0.3797,0.7459,0.72,0.42
225,2026-06-26T13:50:00+0000,7,1220,below_threshold,613.3,0.3795,0.6979,0.72,0.42
226,2026-06-28T11:10:00+0000,7,1220,below_threshold,588.0,0.3794,0.6847,0.72,0.42
227,2026-06-30T07:50:00+0000,7,1220,below_threshold,623.0,0.3793,0.7028,0.72,0.42
228,2026-07-02T01:50:00+0000,7,1220,below_threshold,808.2,0.3798,0.7995,0.72,0.42
229,2026-07-04T07:10:00+0000,7,1220,below_threshold,648.9,0.3792,0.7162,0.72,0.42
230,2026-07-05T23:30:00+0000,7,1220,below_threshold,576.2,0.3799,0.6791,0.72,0.42
231,2026-07-07T16:10:00+0000,7,1220,below_threshold,700.6,0.3799,0.7437,0.72,0.42
232,2026-07-09T14:50:00+0000,7,1220,below_threshold,453.5,0.3796,0.6151,0.72,0.42
233,2026-07-11T06:30:00+0000,7,1220,below_threshold,635.7,0.3792,0.7093,0.72,0.42
234,2026-07-12T19:40:00+0000,7,1220,below_threshold,706.8,0.3793,0.7463,0.72,0.42
235,2026-07-14T17:50:00+0000,7,1220,below_threshold,683.4,0.38,0.7349,0.72,0.42
236,2026-07-16T15:50:00+0000,7,1220,below_threshold,635.4,0.3791,0.709,0.72,0.42
237,2026-07-18T12:30:00+0000,7,1220,below_threshold,661.6,0.3799,0.7234,0.72,0.42
238,2026-07-20T10:00:00+0000,7,1220,below_threshold,658.0,0.3798,0.7214,0.72,0.42
239,2026-07-22T07:20:00+0000,7,1220,below_threshold,641.5,0.3792,0.7123,0.72,0.42
240,2026-07-23T20:30:00+0000,7,1220,below_threshold,621.4,0.3794,0.7021,0.72,0.42
241,2026-07-25T15:50:00+0000,7,1220,below_threshold,630.9,0.3793,0.7069,0.72,0.42
242,2026-07-27T12:20:00+0000,7,1220,below_threshold,596.0,0.3791,0.6886,0.72,0.42
243,2026-07-29T08:00:00+0000,7,1220,below_threshold,626.3,0.3797,0.7049,0.72,0.42
244,2026-07-30T20:50:00+0000,7,1220,below_threshold,725.4,0.3797,0.7564,0.72,0.42
245,2026-02-03T12:40:00+0000,8,1220,below_threshold,1731.2,0.3793,0.7473,0.72,0.4
246,2026-02-06T10:20:00+0000,8,1220,below_threshold,1704.2,0.3793,0.7416,0.72,0.4
247,2026-02-09T06:50:00+0000,8,1220,below_threshold,1602.6,0.3794,0.7201,0.72,0.4
248,2026-02-11T16:40:00+0000,8,1220,below_threshold,1470.8,0.3798,0.6925,0.72,0.4
249,2026-02-14T09:20:00+0000,8,1220,below_threshold,1508.8,0.3799,0.7007,0.72,0.4
250,2026-02-16T18:10:00+0000,8,1220,below_threshold,1751.7,0.3796,0.752,0.72,0.4
251,2026-02-19T14:20:00+0000,8,1220,below_threshold,1484.2,0.3797,0.6953,0.72,0.4
252,2026-02-22T07:10:00+0000,8,1220,below_threshold,1609.9,0.3797,0.7219,0.72,0.4
253,2026-02-24T17:00:00+0000,8,1220,below_threshold,1638.4,0.3798,0.7281,0.72,0.4
254,2026-02-27T11:30:00+0000,8,1220,below_threshold,1849.5,0.3795,0.7727,0.72,0.4
255,2026-03-02T08:10:00+0000,8,1220,below_threshold,1629.8,0.3794,0.7259,0.72,0.4
256,2026-03-04T17:20:00+0000,8,1220,below_threshold,1805.7,0.3795,0.7633,0.72,0.4
257,2026-03-07T12:30:00+0000,8,1220,below_threshold,1502.5,0.3795,0.6989,0.72,0.4
258,2026-03-09T20:00:00+0000,8,1220,below_threshold,1702.7,0.3798,0.7417,0.72,0.4
259,2026-03-12T13:10:00+0000,8,1220,below_threshold,1574.6,0.3797,0.7144,0.72,0.4
260,2026-03-14T23:10:00+0000,8,1220,below_threshold,1684.9,0.3799,0.7381,0.72,0.4
261,2026-03-17T13:10:00+0000,8,1220,below_threshold,1635.5,0.3799,0.7276,0.72,0.4
262,2026-03-20T02:50:00+0000,8,1220,below_threshold,1725.4,0.3799,0.7467,0.72,0.4
263,2026-03-22T14:00:00+0000,8,1220,below_threshold,1691.6,0.38,0.7396,0.72,0.4
264,2026-03-25T07:10:00+0000,8,1220,below_threshold,1708.5,0.3797,0.7429,0.72,0.4
265,2026-03-27T15:00:00+0000,8,1220,below_threshold,1348.6,0.3796,0.6663,0.72,0.4
266,2026-03-29T18:00:00+0000,8,1220,below_threshold,1369.3,0.3795,0.6706,0.72,0.4
267,2026-04-01T00:50:00+0000,8,1220,below_threshold,1414.4,0.38,0.6806,0.72,0.4
268,2026-04-03T08:40:00+0000,8,1220,below_threshold,1418.8,0.3795,0.6811,0.72,0.4
269,2026-04-05T11:40:00+0000,8,1220,below_threshold,1446.0,0.3798,0.6872,0.72,0.4
270,2026-04-07T15:00:00+0000,8,1220,below_threshold,1614.8,0.3797,0.723,0.72,0.4
271,2026-04-10T02:30:00+0000,8,1220,below_threshold,1486.6,0.3799,0.6959,0.72,0.4
272,2026-04-12T09:50:00+0000,8,1220,below_threshold,1406.4,0.3798,0.6788,0.72,0.4
273,2026-04-14T12:20:00+0000,8,1220,below_threshold,1284.2,0.3792,0.6522,0.72,0.4
274,2026-04-16T13:10:00+0000,8,1220,below_threshold,1491.4,0.3792,0.6962,0.72,0.4
